,AT
2010-01-01 00:00:00,1.076531779136883
2010-01-01 01:00:00,1.0658017574694199
2010-01-01 02:00:00,1.0556490669890861
2010-01-01 03:00:00,1.0482957906055368
2010-01-01 04:00:00,1.044657434317977
2010-01-01 05:00:00,1.0429592403367984
2010-01-01 06:00:00,1.0419785965515407
2010-01-01 07:00:00,1.0620873536098014
2010-01-01 08:00:00,1.120774844946122
2010-01-01 09:00:00,1.193645787129154
2010-01-01 10:00:00,1.2648620078917252
2010-01-01 11:00:00,1.303615399535503
2010-01-01 12:00:00,1.3076007080779297
2010-01-01 13:00:00,1.264599574776336
2010-01-01 14:00:00,1.174271033720883
2010-01-01 15:00:00,1.1149828593301472
2010-01-01 16:00:00,1.0972194060356861
2010-01-01 17:00:00,1.083854147866673
2010-01-01 18:00:00,1.0706695007734819
2010-01-01 19:00:00,1.0577099870764843
2010-01-01 20:00:00,1.0475750956951384
2010-01-01 21:00:00,1.038870598351498
2010-01-01 22:00:00,1.0284840836158191
2010-01-01 23:00:00,1.0204769663100313
2010-01-02 00:00:00,1.016519980074758
2010-01-02 01:00:00,1.0096163327030376
2010-01-02 02:00:00,1.0
2010-01-02 03:00:00,1.0
2010-01-02 04:00:00,1.0
2010-01-02 05:00:00,1.0
2010-01-02 06:00:00,1.0
2010-01-02 07:00:00,1.0
2010-01-02 08:00:00,1.0
2010-01-02 09:00:00,1.0
2010-01-02 10:00:00,1.0
2010-01-02 11:00:00,1.0
2010-01-02 12:00:00,1.0
2010-01-02 13:00:00,1.0
2010-01-02 14:00:00,1.0
2010-01-02 15:00:00,1.0
2010-01-02 16:00:00,1.0
2010-01-02 17:00:00,1.0
2010-01-02 18:00:00,1.0
2010-01-02 19:00:00,1.0
2010-01-02 20:00:00,1.0
2010-01-02 21:00:00,1.0
2010-01-02 22:00:00,1.0
2010-01-02 23:00:00,1.0
2010-01-03 00:00:00,1.0
2010-01-03 01:00:00,1.0
2010-01-03 02:00:00,1.0
2010-01-03 03:00:00,1.0
2010-01-03 04:00:00,1.0
2010-01-03 05:00:00,1.0
2010-01-03 06:00:00,1.0
2010-01-03 07:00:00,1.0
2010-01-03 08:00:00,1.0
2010-01-03 09:00:00,1.0
2010-01-03 10:00:00,1.0
2010-01-03 11:00:00,1.0
2010-01-03 12:00:00,1.0
2010-01-03 13:00:00,1.0
2010-01-03 14:00:00,1.0
2010-01-03 15:00:00,1.0
2010-01-03 16:00:00,1.0
2010-01-03 17:00:00,1.0
2010-01-03 18:00:00,1.0
2010-01-03 19:00:00,1.0
2010-01-03 20:00:00,1.0
2010-01-03 21:00:00,1.0
2010-01-03 22:00:00,1.0
2010-01-03 23:00:00,1.0
2010-01-04 00:00:00,1.0
2010-01-04 01:00:00,1.0
2010-01-04 02:00:00,1.0
2010-01-04 03:00:00,1.0
2010-01-04 04:00:00,1.0
2010-01-04 05:00:00,1.0
2010-01-04 06:00:00,1.0
2010-01-04 07:00:00,1.0
2010-01-04 08:00:00,1.0
2010-01-04 09:00:00,1.0
2010-01-04 10:00:00,1.0
2010-01-04 11:00:00,1.0
2010-01-04 12:00:00,1.0
2010-01-04 13:00:00,1.0
2010-01-04 14:00:00,1.0
2010-01-04 15:00:00,1.0
2010-01-04 16:00:00,1.0
2010-01-04 17:00:00,1.0
2010-01-04 18:00:00,1.0
2010-01-04 19:00:00,1.0
2010-01-04 20:00:00,1.0
2010-01-04 21:00:00,1.0
2010-01-04 22:00:00,1.0
2010-01-04 23:00:00,1.0
2010-01-05 00:00:00,1.0
2010-01-05 01:00:00,1.0
2010-01-05 02:00:00,1.0
2010-01-05 03:00:00,1.0
2010-01-05 04:00:00,1.0
2010-01-05 05:00:00,1.0
2010-01-05 06:00:00,1.0
2010-01-05 07:00:00,1.0
2010-01-05 08:00:00,1.0
2010-01-05 09:00:00,1.0
2010-01-05 10:00:00,1.0
2010-01-05 11:00:00,1.0
2010-01-05 12:00:00,1.0
2010-01-05 13:00:00,1.0
2010-01-05 14:00:00,1.0
2010-01-05 15:00:00,1.0
2010-01-05 16:00:00,1.0
2010-01-05 17:00:00,1.0
2010-01-05 18:00:00,1.0
2010-01-05 19:00:00,1.0
2010-01-05 20:00:00,1.0
2010-01-05 21:00:00,1.0
2010-01-05 22:00:00,1.0
2010-01-05 23:00:00,1.0
2010-01-06 00:00:00,1.0
2010-01-06 01:00:00,1.0
2010-01-06 02:00:00,1.0
2010-01-06 03:00:00,1.0
2010-01-06 04:00:00,1.0
2010-01-06 05:00:00,1.0
2010-01-06 06:00:00,1.0
2010-01-06 07:00:00,1.0
2010-01-06 08:00:00,1.0
2010-01-06 09:00:00,1.0
2010-01-06 10:00:00,1.0
2010-01-06 11:00:00,1.001858031728498
2010-01-06 12:00:00,1.0112914883902844
2010-01-06 13:00:00,1.0024347355007175
2010-01-06 14:00:00,1.0
2010-01-06 15:00:00,1.0
2010-01-06 16:00:00,1.0
2010-01-06 17:00:00,1.0
2010-01-06 18:00:00,1.0
2010-01-06 19:00:00,1.0
2010-01-06 20:00:00,1.0
2010-01-06 21:00:00,1.0
2010-01-06 22:00:00,1.0
2010-01-06 23:00:00,1.0
2010-01-07 00:00:00,1.0
2010-01-07 01:00:00,1.0
