,AT
2010-01-01 00:00:00,-15251.689265577073
2010-01-01 01:00:00,-15408.198106038817
2010-01-01 02:00:00,-16474.139879552553
2010-01-01 03:00:00,-16551.126084997617
2010-01-01 04:00:00,-16757.011204391838
2010-01-01 05:00:00,-16797.877985967418
2010-01-01 06:00:00,-17068.846176306623
2010-01-01 07:00:00,-16548.646302908735
2010-01-01 08:00:00,-15700.26605526344
2010-01-01 09:00:00,-13764.111466514063
2010-01-01 10:00:00,-11929.67949429474
2010-01-01 11:00:00,-10232.544639175403
2010-01-01 12:00:00,-9630.556967858352
2010-01-01 13:00:00,-10052.835454797178
2010-01-01 14:00:00,-10592.302747650989
2010-01-01 15:00:00,-11478.960967325547
2010-01-01 16:00:00,-12214.946604070235
2010-01-01 17:00:00,-12191.966282762327
2010-01-01 18:00:00,-12642.522281898673
2010-01-01 19:00:00,-13997.976733293002
2010-01-01 20:00:00,-14776.927262372534
2010-01-01 21:00:00,-15084.987028428972
2010-01-01 22:00:00,-15753.56380979889
2010-01-01 23:00:00,-16055.813458235687
2010-01-02 00:00:00,-16028.358915035027
2010-01-02 01:00:00,-17610.385445371143
2010-01-02 02:00:00,-17662.067325265572
2010-01-02 03:00:00,-17708.593205977217
2010-01-02 04:00:00,-18462.900229058465
2010-01-02 05:00:00,-18391.855467526635
2010-01-02 06:00:00,-19280.95376379174
2010-01-02 07:00:00,-18938.034482282612
2010-01-02 08:00:00,-18895.30243195528
2010-01-02 09:00:00,-19085.922649619817
2010-01-02 10:00:00,-19220.759232992485
2010-01-02 11:00:00,-18587.247484528336
2010-01-02 12:00:00,-17557.673156616587
2010-01-02 13:00:00,-17787.831238645063
2010-01-02 14:00:00,-17676.586767651414
2010-01-02 15:00:00,-18399.029107161412
2010-01-02 16:00:00,-18438.20185402926
2010-01-02 17:00:00,-18805.110374792614
2010-01-02 18:00:00,-19369.593691560705
2010-01-02 19:00:00,-20802.013632629194
2010-01-02 20:00:00,-21027.20895940756
2010-01-02 21:00:00,-21098.517453375753
2010-01-02 22:00:00,-21322.22874590542
2010-01-02 23:00:00,-21726.55936957192
2010-01-03 00:00:00,-23487.622176158544
2010-01-03 01:00:00,-24005.20319659571
2010-01-03 02:00:00,-24258.883015970132
2010-01-03 03:00:00,-25606.712841861503
2010-01-03 04:00:00,-25710.10069133977
2010-01-03 05:00:00,-25545.655712492597
2010-01-03 06:00:00,-25098.58278742538
2010-01-03 07:00:00,-24623.63201368634
2010-01-03 08:00:00,-23311.82360460953
2010-01-03 09:00:00,-21186.786322201348
2010-01-03 10:00:00,-20548.426153595246
2010-01-03 11:00:00,-19152.523490744847
2010-01-03 12:00:00,-18387.74083550303
2010-01-03 13:00:00,-17401.19432339186
2010-01-03 14:00:00,-17659.82736717566
2010-01-03 15:00:00,-18772.307348851456
2010-01-03 16:00:00,-19192.739328554613
2010-01-03 17:00:00,-19124.14371113135
2010-01-03 18:00:00,-19474.568730374038
2010-01-03 19:00:00,-21178.9420764934
2010-01-03 20:00:00,-22007.780606559743
2010-01-03 21:00:00,-22842.05198360494
2010-01-03 22:00:00,-23811.930776295343
2010-01-03 23:00:00,-24420.339383066617
2010-01-04 00:00:00,-24688.465465577072
2010-01-04 01:00:00,-25040.407706038815
2010-01-04 02:00:00,-25217.80437955256
2010-01-04 03:00:00,-26652.59978499762
2010-01-04 04:00:00,-26933.51010439184
2010-01-04 05:00:00,-26921.30778596742
2010-01-04 06:00:00,-28308.09237630662
2010-01-04 07:00:00,-28443.37400290873
2010-01-04 08:00:00,-25672.337655263436
2010-01-04 09:00:00,-21375.047766514064
2010-01-04 10:00:00,-19236.63729429474
2010-01-04 11:00:00,-17340.5757391754
2010-01-04 12:00:00,-15690.776767858355
2010-01-04 13:00:00,-16008.490154797179
2010-01-04 14:00:00,-16610.493447650988
2010-01-04 15:00:00,-18224.367867325545
2010-01-04 16:00:00,-19063.841204070235
2010-01-04 17:00:00,-19094.96928276233
2010-01-04 18:00:00,-20557.909981898672
2010-01-04 19:00:00,-21168.73453329301
2010-01-04 20:00:00,-23237.092862372527
2010-01-04 21:00:00,-23917.054728428975
2010-01-04 22:00:00,-24998.690709798888
2010-01-04 23:00:00,-25583.30295823569
2010-01-05 00:00:00,-25883.262765577078
2010-01-05 01:00:00,-26304.27370603882
2010-01-05 02:00:00,-26472.678979552555
2010-01-05 03:00:00,-26652.59978499762
2010-01-05 04:00:00,-26933.51010439184
2010-01-05 05:00:00,-26921.30778596742
2010-01-05 06:00:00,-27024.70687630662
2010-01-05 07:00:00,-27178.536102908733
2010-01-05 08:00:00,-24494.97135526344
2010-01-05 09:00:00,-21375.047766514064
2010-01-05 10:00:00,-18263.76739429474
2010-01-05 11:00:00,-16423.1235391754
2010-01-05 12:00:00,-15690.776767858355
2010-01-05 13:00:00,-15138.698354797178
2010-01-05 14:00:00,-15745.670347650988
2010-01-05 15:00:00,-16433.769667325545
2010-01-05 16:00:00,-17232.660704070237
2010-01-05 17:00:00,-17250.351682762324
2010-01-05 18:00:00,-17732.491281898674
2010-01-05 19:00:00,-18306.376133293004
2010-01-05 20:00:00,-19202.543762372534
2010-01-05 21:00:00,-19719.05592842897
2010-01-05 22:00:00,-20578.02570979889
2010-01-05 23:00:00,-20991.67785823569
2010-01-06 00:00:00,-21194.850165577074
2010-01-06 01:00:00,-21446.09100603882
2010-01-06 02:00:00,-21555.32257955255
2010-01-06 03:00:00,-21663.570284997622
