,AT
2010-01-01 00:00:00,-7056.657758253423
2010-01-01 01:00:00,-6800.658758253425
2010-01-01 02:00:00,-6552.659758253425
2010-01-01 03:00:00,-6217.659758253425
2010-01-01 04:00:00,-6096.658758253425
2010-01-01 05:00:00,-6142.656758253424
2010-01-01 06:00:00,-6035.657758253425
2010-01-01 07:00:00,-6252.658758253425
2010-01-01 08:00:00,-6501.658758253425
2010-01-01 09:00:00,-6868.657758253425
2010-01-01 10:00:00,-7231.657758253425
2010-01-01 11:00:00,-7517.657758253425
2010-01-01 12:00:00,-7422.660758253425
2010-01-01 13:00:00,-7331.658758253423
2010-01-01 14:00:00,-7246.657758253425
2010-01-01 15:00:00,-7275.657758253425
2010-01-01 16:00:00,-7654.658758253423
2010-01-01 17:00:00,-8071.658758253425
2010-01-01 18:00:00,-8111.658758253425
2010-01-01 19:00:00,-7965.658758253425
2010-01-01 20:00:00,-7673.659758253423
2010-01-01 21:00:00,-7262.656758253424
2010-01-01 22:00:00,-7450.658758253425
2010-01-01 23:00:00,-6994.659758253423
2010-01-02 00:00:00,-6682.657758253425
2010-01-02 01:00:00,-6375.658758253425
2010-01-02 02:00:00,-6191.658758253425
2010-01-02 03:00:00,-6036.659758253425
2010-01-02 04:00:00,-6122.659758253425
2010-01-02 05:00:00,-6415.659758253425
2010-01-02 06:00:00,-6644.658758253425
2010-01-02 07:00:00,-7218.657758253425
2010-01-02 08:00:00,-7641.658758253425
2010-01-02 09:00:00,-8045.657758253425
2010-01-02 10:00:00,-8250.658758253427
2010-01-02 11:00:00,-8431.657758253425
2010-01-02 12:00:00,-8314.658758253423
2010-01-02 13:00:00,-8267.657758253425
2010-01-02 14:00:00,-8217.656758253424
2010-01-02 15:00:00,-8274.658758253425
2010-01-02 16:00:00,-8595.656758253423
2010-01-02 17:00:00,-8919.658758253425
2010-01-02 18:00:00,-8774.658758253425
2010-01-02 19:00:00,-8492.657758253423
2010-01-02 20:00:00,-8107.657758253425
2010-01-02 21:00:00,-7679.657758253425
2010-01-02 22:00:00,-7904.658758253425
2010-01-02 23:00:00,-7481.657758253425
2010-01-03 00:00:00,-7189.658758253425
2010-01-03 01:00:00,-6856.658758253425
2010-01-03 02:00:00,-6677.658758253423
2010-01-03 03:00:00,-6430.658758253425
2010-01-03 04:00:00,-6416.659758253425
2010-01-03 05:00:00,-6506.658758253425
2010-01-03 06:00:00,-6489.657758253425
2010-01-03 07:00:00,-6889.657758253425
2010-01-03 08:00:00,-7226.658758253425
2010-01-03 09:00:00,-7643.659758253425
2010-01-03 10:00:00,-8011.659758253423
2010-01-03 11:00:00,-8204.658758253425
2010-01-03 12:00:00,-7954.657758253425
2010-01-03 13:00:00,-7808.658758253425
2010-01-03 14:00:00,-7622.659758253425
2010-01-03 15:00:00,-7578.657758253425
2010-01-03 16:00:00,-8010.657758253425
2010-01-03 17:00:00,-8525.660758253425
2010-01-03 18:00:00,-8609.658758253425
2010-01-03 19:00:00,-8491.659758253425
2010-01-03 20:00:00,-8199.658758253425
2010-01-03 21:00:00,-7807.657758253425
2010-01-03 22:00:00,-8096.657758253425
2010-01-03 23:00:00,-7697.659758253425
2010-01-04 00:00:00,-7475.657758253425
2010-01-04 01:00:00,-7185.657758253425
2010-01-04 02:00:00,-6996.658758253423
2010-01-04 03:00:00,-6816.658758253425
2010-01-04 04:00:00,-6898.659758253425
2010-01-04 05:00:00,-7336.658758253423
2010-01-04 06:00:00,-7799.658758253425
2010-01-04 07:00:00,-8653.659758253423
2010-01-04 08:00:00,-9068.659758253425
2010-01-04 09:00:00,-9322.658758253425
2010-01-04 10:00:00,-9379.658758253425
2010-01-04 11:00:00,-9493.659758253423
2010-01-04 12:00:00,-9375.657758253425
2010-01-04 13:00:00,-9310.657758253425
2010-01-04 14:00:00,-9169.658758253425
2010-01-04 15:00:00,-9208.657758253423
2010-01-04 16:00:00,-9475.657758253425
2010-01-04 17:00:00,-9981.657758253425
2010-01-04 18:00:00,-9935.659758253425
2010-01-04 19:00:00,-9518.658758253425
2010-01-04 20:00:00,-8962.658758253425
2010-01-04 21:00:00,-8459.659758253425
2010-01-04 22:00:00,-8529.657758253425
2010-01-04 23:00:00,-8105.657758253425
2010-01-05 00:00:00,-7751.659758253425
2010-01-05 01:00:00,-7419.659758253425
2010-01-05 02:00:00,-7237.657758253425
2010-01-05 03:00:00,-6983.656758253424
2010-01-05 04:00:00,-7025.659758253425
2010-01-05 05:00:00,-7379.657758253425
2010-01-05 06:00:00,-7906.659758253423
2010-01-05 07:00:00,-8697.658758253425
2010-01-05 08:00:00,-9176.659758253425
2010-01-05 09:00:00,-9527.658758253423
2010-01-05 10:00:00,-9642.658758253425
2010-01-05 11:00:00,-9738.658758253425
2010-01-05 12:00:00,-9560.659758253425
2010-01-05 13:00:00,-9493.659758253423
2010-01-05 14:00:00,-9445.659758253423
2010-01-05 15:00:00,-9443.657758253425
2010-01-05 16:00:00,-9675.658758253425
2010-01-05 17:00:00,-9994.658758253425
2010-01-05 18:00:00,-9909.657758253425
2010-01-05 19:00:00,-9521.657758253425
2010-01-05 20:00:00,-8922.658758253425
2010-01-05 21:00:00,-8378.658758253425
2010-01-05 22:00:00,-8485.657758253423
2010-01-05 23:00:00,-7979.659758253423
2010-01-06 00:00:00,-7618.660758253423
2010-01-06 01:00:00,-7278.656758253424
2010-01-06 02:00:00,-7097.656758253424
2010-01-06 03:00:00,-6850.657758253425
2010-01-06 04:00:00,-6769.658758253425
2010-01-06 05:00:00,-6841.659758253423
2010-01-06 06:00:00,-6774.659758253423
2010-01-06 07:00:00,-7203.658758253425
2010-01-06 08:00:00,-7560.656758253424
2010-01-06 09:00:00,-7970.658758253425
2010-01-06 10:00:00,-8281.658758253425
2010-01-06 11:00:00,-8504.657758253425
2010-01-06 12:00:00,-8291.660758253425
2010-01-06 13:00:00,-8112.658758253423
2010-01-06 14:00:00,-8026.658758253425
2010-01-06 15:00:00,-7981.659758253425
2010-01-06 16:00:00,-8309.659758253425
2010-01-06 17:00:00,-8783.658758253425
2010-01-06 18:00:00,-8839.658758253425
2010-01-06 19:00:00,-8716.657758253425
2010-01-06 20:00:00,-8239.659758253425
2010-01-06 21:00:00,-7829.658758253425
2010-01-06 22:00:00,-8008.658758253425
2010-01-06 23:00:00,-7567.658758253423
2010-01-07 00:00:00,-7288.658758253425
2010-01-07 01:00:00,-7008.659758253423
2010-01-07 02:00:00,-6852.655758253424
2010-01-07 03:00:00,-6691.658758253425
2010-01-07 04:00:00,-6791.659758253425
2010-01-07 05:00:00,-7393.656758253424
2010-01-07 06:00:00,-8272.658758253425
2010-01-07 07:00:00,-9188.658758253423
2010-01-07 08:00:00,-9526.658758253425
2010-01-07 09:00:00,-9693.660758253423
2010-01-07 10:00:00,-9770.658758253425
2010-01-07 11:00:00,-9830.657758253425
2010-01-07 12:00:00,-9658.659758253425
2010-01-07 13:00:00,-9578.657758253425
2010-01-07 14:00:00,-9453.659758253423
2010-01-07 15:00:00,-9348.659758253423
2010-01-07 16:00:00,-9704.659758253425
2010-01-07 17:00:00,-10149.658758253425
2010-01-07 18:00:00,-10043.659758253423
2010-01-07 19:00:00,-9667.657758253425
2010-01-07 20:00:00,-9067.658758253423
2010-01-07 21:00:00,-8481.658758253425
2010-01-07 22:00:00,-8501.657758253425
2010-01-07 23:00:00,-8005.658758253425
2010-01-08 00:00:00,-7651.657758253425
2010-01-08 01:00:00,-7357.660758253425
2010-01-08 02:00:00,-7179.657758253425
2010-01-08 03:00:00,-6999.657758253425
2010-01-08 04:00:00,-7088.658758253425
2010-01-08 05:00:00,-7586.659758253425
2010-01-08 06:00:00,-8422.658758253425
2010-01-08 07:00:00,-9295.659758253425
2010-01-08 08:00:00,-9641.657758253425
2010-01-08 09:00:00,-9833.658758253425
2010-01-08 10:00:00,-9967.657758253425
2010-01-08 11:00:00,-10068.659758253425
2010-01-08 12:00:00,-9855.658758253425
2010-01-08 13:00:00,-9676.659758253425
2010-01-08 14:00:00,-9545.658758253425
2010-01-08 15:00:00,-9474.658758253423
2010-01-08 16:00:00,-9730.659758253425
2010-01-08 17:00:00,-10081.658758253423
2010-01-08 18:00:00,-9904.659758253423
2010-01-08 19:00:00,-9528.658758253425
2010-01-08 20:00:00,-8989.657758253425
2010-01-08 21:00:00,-8425.657758253425
2010-01-08 22:00:00,-8529.657758253425
2010-01-08 23:00:00,-8078.659758253425
2010-01-09 00:00:00,-7709.658758253423
2010-01-09 01:00:00,-7406.658758253425
2010-01-09 02:00:00,-7181.657758253425
2010-01-09 03:00:00,-6949.657758253423
2010-01-09 04:00:00,-6894.658758253425
2010-01-09 05:00:00,-7101.659758253425
2010-01-09 06:00:00,-7257.658758253425
2010-01-09 07:00:00,-7805.658758253425
2010-01-09 08:00:00,-8261.656758253424
2010-01-09 09:00:00,-8618.659758253425
2010-01-09 10:00:00,-8876.658758253425
2010-01-09 11:00:00,-9066.659758253423
2010-01-09 12:00:00,-8890.658758253425
